"id","genus","species","latbi","commonName","plantNickname","year","budburst","leafout","coloredLeaves","DBH","accessionDate","lat","long"
"BENI_1199_J","Betula","nigra","Betula nigra","River birch","1199*J",2018,122,122,272,89.1,"07-17-1877",42.30252077,-71.12397574
"BENI_1199_J","Betula","nigra","Betula nigra","River birch","1199*J",2019,111,126,251,89.1,"07-17-1877",42.30252077,-71.12397574
"BENI_1199_J","Betula","nigra","Betula nigra","River birch","1199*J",2020,126,128,258,89.1,"07-17-1877",42.30252077,-71.12397574
"BENI_1251-79_A","Betula","nigra","Betula nigra","River birch","1251-79*A",2015,NA,NA,270,78,"12-20-1979",42.30223154,-71.12410601
"BENI_1251-79_A","Betula","nigra","Betula nigra","River birch","1251-79*A",2016,111,127,281,78,"12-20-1979",42.30223154,-71.12410601
"BENI_1251-79_A","Betula","nigra","Betula nigra","River birch","1251-79*A",2017,100,108,276,78,"12-20-1979",42.30223154,-71.12410601
"BENI_1251-79_A","Betula","nigra","Betula nigra","River birch","1251-79*A",2018,118,125,285,78,"12-20-1979",42.30223154,-71.12410601
"BENI_1251-79_A","Betula","nigra","Betula nigra","River birch","1251-79*A",2019,107,122,230,78,"12-20-1979",42.30223154,-71.12410601
"BENI_1251-79_A","Betula","nigra","Betula nigra","River birch","1251-79*A",2020,126,128,253,78,"12-20-1979",42.30223154,-71.12410601
"BENI_1251-79_A","Betula","nigra","Betula nigra","River birch","1251-79*A",2024,110,124,NA,78,"12-20-1979",42.30223154,-71.12410601
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2015,142,NA,254,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2016,111,125,281,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2017,101,117,276,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2018,118,122,272,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2019,107,122,249,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2020,126,133,253,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2021,114,122,261,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2022,103,125,238,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2023,104,108,231,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B",2024,121,121,257,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_E","Betula","nigra","Betula nigra","River birch","1251-79*E",2015,NA,NA,278,70,"12-20-1979",42.3022236,-71.12398789
"BENI_1251-79_E","Betula","nigra","Betula nigra","River birch","1251-79*E",2016,112,130,281,70,"12-20-1979",42.3022236,-71.12398789
"BENI_1251-79_E","Betula","nigra","Betula nigra","River birch","1251-79*E",2017,101,118,283,70,"12-20-1979",42.3022236,-71.12398789
"BENI_1251-79_E","Betula","nigra","Betula nigra","River birch","1251-79*E",2018,122,125,280,70,"12-20-1979",42.3022236,-71.12398789
"BENI_1251-79_E","Betula","nigra","Betula nigra","River birch","1251-79*E",2019,110,126,258,70,"12-20-1979",42.3022236,-71.12398789
"BENI_1251-79_E","Betula","nigra","Betula nigra","River birch","1251-79*E",2020,126,126,258,70,"12-20-1979",42.3022236,-71.12398789
